# Source: handprint.com/HP/WCL/waterfs.html
# KEY TO THE PAINT RATINGS. Summarized as numbers: 
# Tr = Transparency: 0 (very opaque) to 4 (transparent) 
# St = Staining: 0 (nonstaining) to 4 (heavily staining) 
# VR = Value Range: the value of the masstone color subtracted from the value of white paper, in steps of a 100 step value scale
# Gr = Granulation: 0 (liquid texture) to 4 (granular)
# Bl = Blossom: 0 (no blossom) to 4 (strong blossom)
# Df = Diffusion: 0 (inert) to 4 (very active diffusion)
# HA = Hue Angle in degrees of the CIELAB a*b* plane
# HS = Hue Shift as the undertone hue angle minus the masstone hue angle, in degrees of the CIELAB a*b* plane - 
# Lf = Lightfastness: 1 (very fugitive) to 8 (very lightfast) for paint in tint,full strength (1998 test/2004 test)
# PIGMENT(C.I. NAME),PAINT(MARKETING NAME),MANUFACTURER,CODE,Tr,St,VR,Gr,Bl,Df,HA,HS,Lf
PR60,permanent rose,Holbein,002,3,1,53,0,3,3,24,-20,3/6
PR122,verzino violet,MaimeriBlu,473,3,3,52,0,3,4,1,-11,8/8
PR122,quinacridone magenta,Winsor & Newton,229,3,2,56,0,3,1,3,-14,7/8
PR122,rose violet,Holbein,318,4,3,54,0,2,2,0,-11,7/8
PR122,purple magenta,Schmincke,367,3,3,53,0,2,2,359,-10,7/8
PR122,quinacridone magenta,Utrecht,003,4,3,55,0,2,1,4,-13,7/8
PR122,quinacridone magenta,Rowney Artists,414,4,3,48,0,2,2,356,-7,7/8
PR122,quinacridone purple,Sennelier,671,2,3,47,1,2,2,354,-4,7/8
PR122,geranium lake bluish ,Lukas,1081,2,3,53,0,2,2,359,-10,7/8
PR122,magenta,Old Holland,181,3,1,56,1,3,2,3,-13,7/8
PR122+PR171,purple madder [hue] ,Winsor & Newton,205,3,3,68,0,3,1,14,-8,7/8
PR122+BV10,violet opera,Holbein,213,2,2,43,0,3,1,358,-3,5/6
PR122+BV10,opera rose,Winsor & Newton,448,3,1,43,1,4,3,357,-10,./.
PR171,naphthamide maroon,Daniel Smith,039,3,3,64,0,2,0,17,-7,8/8
PR202,quinacridone fuchsia,Daniel Smith,132,4,4,54,0,2,3,15,-10,8/8
PR202,quinacridone magenta,Daniel Smith,073,3,4,60,0,3,2,10,-14,7/8
NR4,carmine genuine,Sennelier,637,4,4,51,1,2,2,13,-3,1/5
NR9,rose madder genuine,Winsor & Newton,090,4,0,35,2,3,0,6,-2,2/4
NR9,rose madder genuine,Daniel Smith,080,4,0,60,1,2,1,24,0,1/3
PV11+PR83,bright rose,Holbein,370,2,3,51,1,3,1,351,-11,3/3
PV19,permanent rose,Winsor & Newton,075,4,3,49,0,2,3,19,-16,7/8
PV19,quinacridone rose,M. Graham,156,4,4,55,1,2,1,24,-17,7/8
PV19,quinacridone rose,Daniel Smith,076,3,3,47,0,4,3,12,-7,7/8
PV19,quinacridone red,Daniel Smith,073,2,4,54,0,4,1,21,-12,7/8
PV19,primary red - magenta,MaimeriBlu,256,3,3,45,0,2,4,16,-9,7/8
PV19,rose lake,MaimeriBlu,182,2,4,52,0,3,4,25,-18,7/8
PV19,ruby red,Schmincke,351,3,2,53,0,4,3,23,-14,7/8
PV19,royal purple lake,Old Holland,184,3,2,52,0,3,2,16,-15,7/7
PV19,permanent rose (quinacridone),DaVinci,182,2,3,46,1,3,2,12,-9,6/8
PV19,quinacridone rose,Rembrandt,366,3,3,50,0,4,3,15,-20,6/7
PV19,red rose deep (quinacridone),DaVinci,276,3,4,57,1,3,3,26,-23,6/7
PV19,alizarin crimson (quinacridone),DaVinci,202,2,4,59,1,2,2,27,-17,6/7
PV19,carmine (quinacridone),DaVinci,225,3,4,63,2,3,2,25,-13,6/7
PV19,permanent rose,Rowney Artists,537,3,2,47,0,3,1,19,-17,6/6
PV19+PY97,rose dore,Winsor & Newton,089,3,3,38,0,4,4,28,-6,5/5
PV19,quinacridone violet,M. Graham,158,4,4,63,0,2,2,3,-18,8/8
PV19,quinacridone violet,Daniel Smith,089,2,4,65,0,2,3,7,-24,8/8
PV19,permanent magenta,Winsor & Newton,489,3,4,62,0,3,3,3,-19,8/8
PV19,permanent magenta [discontinued],Winsor & Newton,073,3,4,61,0,3,2,1,-18,8/8
