# Source handprint.com/HP/WCL/huepurity.html
#COLOR INDEX — generic C.I. name of the pigment (this is missing for convenience mixtures and unclassified mineral pigments)
#PIGMENT NAME — common pigment name or marketing name
#J, aC, bC — pigment location in the CIECAM color appearance space [Value, a,b]
#C — CIECAM pigment chroma, defined as (aC2+bC2)0.5
#Hue Angle — CIECAM hue angle, defined as ARCTAN(bC/aC)
#Hue Purity — CIECAM hue purity, the ratio between the pigment chroma and the chroma of the optimal color of matching lightness and hue angle
#aHP, bHP — ab coordinates for pigment hue purity, scaled so that maximum possible hue purity equals 1.0
# COLOR INDEX ,	PIGMENT NAME				,	J ,	C	,	aC	,	bC	,	HueAngle, Hue Purity,	aHP,	bHP
NA,sodalite,15,3,-3,0,182,0.04,-0.04,0.00
PBr6,iron oxide black,17,7,5,4,38,0.07,0.05,0.04
NA,hematite,21,6,-1,6,95,0.08,-0.01,0.08
NA,kyanite,41,10,-10,2,170,0.09,-0.09,0.02
NA,vivianite,35,12,-9,8,140,0.11,-0.08,0.07
NA,jadeite,17,9,-7,6,141,0.11,-0.09,0.07
PBr33,zinc iron chromite brown,25,14,12,8,33,0.12,0.10,0.06
NA,bloodstone,22,10,6,8,55,0.12,0.07,0.10
PBk31,perylene green,21,11,-8,8,133,0.13,-0.09,0.09
NA,indigo,19,12,-1,-12,267,0.13,-0.01,-0.13
NA,purpurite,20,13,13,3,13,0.13,0.13,0.03
NA,hematite violet,26,14,10,10,47,0.15,0.10,0.11
NA,piemontite,20,16,12,11,40,0.16,0.12,0.11
NA,zoisite,22,15,-9,12,128,0.17,-0.10,0.13
NA,cote d'azur violet,37,22,14,17,50,0.19,0.12,0.14
NA,tiger's eye burnt,23,19,12,15,51,0.20,0.13,0.16
NA,green fuchsite,60,29,-25,15,149,0.21,-0.18,0.11
PBr7,burnt umber,28,25,18,16,42,0.21,0.16,0.14
PG17,chromium oxide green,35,24,-18,16,139,0.21,-0.16,0.14
PG8,hooker's green,26,23,-19,14,144,0.22,-0.18,0.13
NA,bauxite,24,21,15,16,47,0.22,0.15,0.16
NA,apatite,20,16,-14,-8,208,0.23,-0.20,-0.11
PBr7,raw umber,34,23,12,20,59,0.24,0.12,0.21
PR101,mars brown,36,29,20,21,47,0.24,0.17,0.18
PR101,mars violet,25,26,25,10,21,0.24,0.23,0.09
NA,red fuchsite,41,31,27,17,32,0.24,0.21,0.13
PR101,lunar red,25,30,26,15,31,0.25,0.21,0.13
NA,malachite,50,33,-22,24,133,0.25,-0.17,0.18
NA,hematite burnt scarlet,25,32,26,19,36,0.26,0.21,0.15
NA,lazurite,26,25,-16,-19,230,0.27,-0.17,-0.21
PG26,cobalt green dark,33,27,-27,0,180,0.28,-0.28,0.00
NA,azurite,26,25,-20,-14,215,0.28,-0.23,-0.16
NA,serpentine,27,23,-8,22,110,0.28,-0.10,0.27
NA,yavapaiite,29,27,14,24,60,0.30,0.15,0.26
PR233,pinkcolor,42,38,34,16,25,0.31,0.28,0.13
PBr41,disazo condensation brown,29,39,33,21,32,0.31,0.26,0.17
PBr25,benzimidazolone brown,31,40,34,21,32,0.32,0.27,0.17
NA,hooker's green,33,37,-30,21,144,0.32,-0.26,0.19
NA,pipestone,33,43,35,24,35,0.32,0.27,0.19
NA,sedona,31,40,30,27,42,0.33,0.24,0.22
PV23,dioxazine purple,20,31,15,-27,299,0.34,0.16,-0.29
NA,sap green,33,34,-20,28,126,0.34,-0.20,0.27
PR101,indian red,33,41,37,18,26,0.34,0.31,0.15
PR101,venetian red,31,42,37,19,28,0.34,0.30,0.16
NA,tiger's eye,23,15,3,14,77,0.34,0.08,0.34
PR171,benzimidazolone maroon,26,37,36,9,14,0.35,0.34,0.09
PR101,light red,33,44,38,24,32,0.35,0.29,0.18
PBr11,magnesium ferrite brown,40,48,36,32,42,0.35,0.26,0.23
PB60,indanthrone blue,18,32,0,-32 ,271,0.35,0.00,-0.35
NA,olive green,33,31,-5,31,99,0.36,-0.06,0.35
PBr7,burnt sienna,37,48,40,27,35,0.36,0.30,0.21
PG50,cobalt titanate green YS,42,46,-41,20,154,0.36,-0.33,0.16
PY53,nickel titanate yellow,85,46,-2,46,92,0.36,-0.01,0.36
NA,naples yellow,75,45,19,41,65,0.37,0.16,0.34
PG19,cobalt green,50,40,-39,-7,190,0.39,-0.38,-0.07
PY119,mars yellow,43,50,34,38,48,0.39,0.26,0.29
PBr7,raw sienna,55,48,23,42,61,0.39,0.19,0.34
PBr24,titanate gold ochre,68,53,24,48,64,0.39,0.17,0.35
PY42,yellow ochre,58,50,22,45,64,0.40,0.17,0.36
PV16,manganese violet,31,44,39,-21,331,0.40,0.35,-0.19
NA,green turquoise,30,42,-40,11,164,0.41,-0.40,0.11
PY42,mars yellow,53,50,24,44,61,0.41,0.20,0.36
NA,blue turquoise,36,43,-42,-9,193,0.43,-0.42,-0.09
PY42,gold ochre,50,58,37,45,51,0.44,0.28,0.34
PB27,prussian blue,19,40,-17,-36,245,0.45,-0.19,-0.40
PV15,ultramarine violet (red),36,42,21,-37,299,0.45,0.22,-0.39
PG50,cobalt green [BS],50,48,-48,0,180,0.45,-0.45,0.00
PY129,green gold,53,49,4,49,86,0.46,0.04,0.46
PG10,nickel azomethine green,58,56,-8,55,98,0.47,-0.07,0.46
PR88,thioindigo violet,29,50,50,-2,358,0.47,0.47,-0.02
PR175,benzimidazolone scarlet,31,56,50,26,27,0.47,0.42,0.21
PO49,quinacridone gold,52,60,33,50,56,0.47,0.26,0.39
PV14,cobalt violet deep,46,47,33,-32,316,0.47,0.34,-0.33
PB27,antwerp blue,35,48,-29,-38,233,0.47,-0.28,-0.38
NA,amazonite,30,47,-47,3,176,0.48,-0.47,0.03
PG18,viridian,42,48,-48,3,177,0.48,-0.48,0.03
PO48,quinacridone burnt orange,42,63,52,37,35,0.48,0.40,0.28
NA,permanent green light,43,63,-54,32,149,0.49,-0.42,0.25
PG36,phthalo green YS,39,57,-54,18,162,0.49,-0.47,0.15
PB36,cobalt turquoise,39,48,-45,-17,201,0.49,-0.46,-0.17
NA,permanent green deep,37,58,-54,22,158,0.49,-0.46,0.19
PY150,nickel azo yellow,67,62,14,61,77,0.49,0.11,0.48
PR206,quinacridone madder,36,60,54,25,25,0.50,0.45,0.21
PV49,cobalt violet light,50,58,52,-26,334,0.50,0.45,-0.22
PG21,[emerald green],59,61,-57 ,20,161,0.50,-0.48,0.17
PY117,green gold,58,60,-1,60,91,0.51,-0.01,0.51
PY175,benzimidazolone lemon,83,65,-8,64,97,0.51,-0.06,0.51
PY108,anthrapyrimidine yellow,72,67,14,65,78,0.52,0.11,0.50
PG7,phthalo green BS,31,51,-51,1,178,0.52,-0.52,0.01
